Data Source,World Development Indicators,,,
,,,,
Last Updated Date,16/9/2020,,,
,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2019
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,502.1154869
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2973.59116
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5352.857411
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,40886.39116
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,6580.056257
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,43103.32306
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,10006.14897
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4622.733493
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,17790.30931
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,54907.10191
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,50277.27509
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4793.58702
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,261.2474725
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,46116.69923
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1219.432672
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,774.8396902
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,1855.739824
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,9737.601351
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,23503.97713
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,32933.48601
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,6073.265203
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6663.295293
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4815.163711
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3552.068762
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8717.186278
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,18148.24493
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,31086.75108
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,7961.33814
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,467.9074406
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,46194.72523
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,16184.33201
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,81993.72715
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,14896.45387
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,10261.67913
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2286.162777
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1497.909176
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,545.2162123
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2011.072399
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6432.387583
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1393.522372
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3603.781794
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12238.37496
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,10307.58628
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,27858.371
Czech Republic,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,23101.7777
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,46258.87829
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,3408.846254
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,8300.375074
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,59822.09296
