Country Name,ISO CODE,Indicator Name,Indicator Code,2017
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,97.17
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,11.44768809
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.33907936
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.8470405
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,91.56746703
Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS,49.96743806
United Arab Emirates,ARE,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.81992254
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,74.29490687
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,64.74488433
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,86.54504885
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.93558659
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,79
Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.660748535
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.67968082
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.11901233
Burkina Faso,BFA,Individuals using the Internet (% of population),IT.NET.USER.ZS,15.87620691
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,
Bulgaria,BGR,Individuals using the Internet (% of population),IT.NET.USER.ZS,63.41010138
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,95.87813575
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,85
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,64.89202051
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,74.43644541
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.0826258
Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,98.37
