,ISO,Country,Infection Rate %,Mortality Rate %,Total Cases,Total Deaths,GDP per Capita,Population Density,Continent,Most Recent Gini Index,Proportion of Internet Users in the Population in 2017
0,ABW,Aruba,4.188599366839631,0.8273703041144902,4472.0,37.0,35973.781,584.8,North America,,0.9717
1,AFG,Afghanistan,0.10641347392636126,3.707905853952927,41425.0,1536.0,1803.987,54.422,Asia,,0.1144768809
2,AGO,Angola,0.031244800900424717,2.677962800662187,10269.0,275.0,5819.495,23.89,Africa,51.3,0.14339079359999998
3,ALB,Albania,0.7170060462853569,2.4328777745468644,20634.0,502.0,11803.431,104.87100000000001,Europe,33.2,0.718470405
4,AND,Andorra,6.037662589788391,1.607717041800643,4665.0,75.0,,163.755,Europe,,0.9156746703
5,ARE,United Arab Emirates,1.3296529968454258,0.37260090640873555,131508.0,490.0,67293.483,112.44200000000001,Asia,,0.9481992253999999
6,ARG,Argentina,2.5603409805301056,2.66098381736069,1157166.0,30792.0,18933.907,16.177,South America,41.4,0.7429490687000001
7,ARM,Armenia,3.030911497370778,1.4931023348513022,89813.0,1341.0,8787.58,102.931,Asia,34.4,0.6474488433000001
8,ATG,Antigua and Barbuda,0.1296871170655992,2.3622047244094486,127.0,3.0,21490.943,231.845,North America,,
9,AUS,Australia,0.10816521065333598,3.2883764774128057,27582.0,907.0,44648.71,3.202,Oceania,,0.8654504885000001
10,AUT,Austria,1.126343489074436,1.06365150872904,101443.0,1079.0,45436.685999999994,106.749,Europe,29.7,0.8793558659
11,AZE,Azerbaijan,0.5343038264947592,1.3253590283161665,54174.0,718.0,15847.419,119.309,Asia,,0.79
12,BDI,Burundi,0.004894548137754787,0.1718213058419244,582.0,1.0,702.225,423.06199999999995,Africa,,0.02660748535
13,BEL,Belgium,3.8173827329568124,2.6397992857465757,442420.0,11679.0,42658.575999999994,375.564,Europe,27.4,0.8767968082
14,BEN,Benin,0.021801178203968954,1.5512674990541053,2643.0,41.0,2064.236,99.11,Africa,47.8,0.1411901233
15,BES,Bonaire Sint Eustatius and Saba,0.5835017733877427,1.9607843137254901,153.0,3.0,,,North America,,
16,BFA,Burkina Faso,0.011849816091045623,2.7048849414614455,2477.0,67.0,1703.102,70.15100000000001,Africa,,0.15876206910000001
17,BGD,Bangladesh,0.24674571766414352,1.4531306907107915,406364.0,5905.0,3523.9840000000004,1265.036,Asia,32.4,
18,BGR,Bulgaria,0.7345672305098478,2.456848415979311,51041.0,1254.0,18563.307,65.18,Europe,40.4,0.6341010138000001
19,BHR,Bahrain,4.787659491191438,0.39157439913583586,81466.0,319.0,43290.705,1935.9070000000002,Asia,,0.9587813574999999
20,BHS,Bahamas,1.6895190821059485,2.1372667068031306,6644.0,142.0,27717.847,39.497,North America,,0.85
21,BIH,Bosnia and Herzegovina,1.4677145770182105,2.5169771353809733,48153.0,1212.0,11713.895,68.49600000000001,Europe,,0.6489202050999999
22,BLR,Belarus,1.0318095871650461,1.0020615596057396,97499.0,977.0,17167.967,46.858000000000004,Europe,25.2,0.7443644541000001
23,BLZ,Belize,0.8706783595433842,1.6753321779318313,3462.0,58.0,7824.361999999999,16.426,North America,,0.47082625799999994
24,BMU,Bermuda,0.3195606442599521,4.522613065326634,199.0,9.0,50669.315,1308.82,North America,,0.9837
25,BOL,Bolivia,1.2133183255177382,6.153313893144862,141631.0,8715.0,6885.829000000001,10.202,South America,42.2,0.4383227607
26,BRA,Brazil,2.595348766706441,2.890826293745235,5516658.0,159477.0,14103.452,25.04,South America,53.9,0.6747128452
27,BRB,Barbados,0.08212380511603468,2.9661016949152543,236.0,7.0,16978.068,664.4630000000001,North America,,0.8176077839
28,BRN,Brunei,0.03382988596128307,2.027027027027027,148.0,3.0,71809.25099999999,81.347,Asia,,0.9486669164
29,BWA,Botswana,0.2824429915483974,0.36133694670280037,6642.0,24.0,15807.374,4.044,Africa,53.3,0.4141379464
30,CAF,Central African Republic,0.10075026440215298,1.2741471434443075,4866.0,62.0,661.24,7.479,Africa,,0.043392549450000005
31,CAN,Canada,0.6146945973437608,4.35777740421295,231999.0,10110.0,44017.59099999999,4.037,North America,33.3,0.9270137191000001
32,CHE,Switzerland,1.77625401837493,1.3237666527893421,153728.0,2035.0,57410.166,214.243,Europe,32.7,0.8968614766999999
33,CHL,Chile,2.6604176591708115,2.783878750459621,508571.0,14158.0,22767.037,24.281999999999996,South America,44.4,0.8232748693
34,CHN,China,0.006343187102806794,5.190637356378493,91299.0,4739.0,15308.712,147.674,Asia,38.5,0.5429999999999999
35,CIV,Cote d'Ivoire,0.07844334021083638,0.5992654165861202,20692.0,124.0,3601.006,76.399,Africa,41.5,0.43839920849999997
36,CMR,Cameroon,0.08209565151090957,1.954756114348644,21793.0,426.0,3364.926,50.885,Africa,,0.2320297197
37,COD,Democratic Republic of Congo,0.0126226248083382,2.706766917293233,11305.0,306.0,808.133,35.879,Africa,,0.08619904916
38,COG,Congo,0.09586646978702058,1.7391304347826086,5290.0,92.0,4881.406,15.405,Africa,,0.08650000000000001
39,COL,Colombia,2.089407903844444,2.928558596097826,1063151.0,31135.0,13254.948999999999,44.223,South America,50.4,0.6225988032
40,COM,Comoros,0.06175288496368999,1.303538175046555,537.0,7.0,1413.89,437.352,Africa,,0.08478170295
41,CPV,Cape Verde,1.5637028137297928,1.092707614446745,8694.0,95.0,6222.554,135.58,Africa,42.4,0.5716214635
42,CRI,Costa Rica,2.13709390877393,1.2593463523965243,108866.0,1371.0,15524.995,96.079,North America,48.0,0.7158166462
43,CUB,Cuba,0.06004441220572853,1.8820761652698133,6801.0,128.0,,110.40799999999999,North America,,0.5714840432
44,CUW,Curacao,0.5752589884216941,0.1059322033898305,944.0,1.0,,362.644,North America,,0.6812721625
45,CYM,Cayman Islands,0.36518563603164944,0.4166666666666667,240.0,1.0,49903.029,256.496,North America,,0.8106769325000001
46,CYP,Cyprus,0.48144820350291534,0.5928385107896609,4217.0,25.0,32415.132,127.65700000000001,Europe,31.4,0.8074318897
47,CZE,Czech Republic,3.0224441501535813,0.9509597649479568,323673.0,3078.0,32605.906000000003,137.17600000000002,Europe,24.9,0.7871917285000001
48,DEU,Germany,0.619155615076373,2.014831721455105,518753.0,10452.0,45229.245,237.016,Europe,31.9,0.8439415370000001
49,DJI,Djibouti,0.5626506828933545,1.0973196618096779,5559.0,61.0,2705.406,41.285,Africa,41.6,0.5568140925
50,DNK,Denmark,0.7807910047351586,1.5898286346047539,45225.0,719.0,46682.515,136.52,Europe,28.7,0.9709936216
